first_seg	second_seg
need help deciding whether to pick up the Rams D or Titans D. Need a replacement for Seattle on	the bye. Please help me!
"I dnt do that subtweetin shit, the shit I got to say ain't got shit to"	do wit anyone on twitter
My girl WON'T be going to any clubs. That's hella disrespectful. She can dance in the	"living room. I got Pandora."""
Brownsville too far for my tummy right now plus I have to	be at work at 2:00
Breaking News: Braves Stadium relocating to Cobb County! How will that loss of tax dollars	impact the residents? Facility ReUse?
popeyes is slipping. why the hell I gotta wait 15mins on some damn chicken. The things I do for	"momma, I tell ya lls"
I have so much to do but I'm afraid it will be Sunday before I see	this level of relaxation again!
"I'm scared for my life , tryna get this out my head"	but I can't help it
He low key is talking like Dave before he went to Africa... But Dave wasn't	a loose canon like Kanye.
Listening to Kanye and Sway... And Ye is real. Not saying he isn't. But he's also crazy. He	needs help. And coping skills.
"Girl done changed , but I knew it was coming that's"	why it ain't bother me.
I need every person in my circle on a paper getting mission if u scared to get paid get	the fuck from roun me
didn't even ask me to watch ur baby u just left n it's a whole new day n now u not	answering ya phone...IM too drove
About to charge my phone and just THINK . &&' I LOVE YALL EVEN IF	I NEVER TOLD YALL .
Men ain't shit but bitch they can not take pain but they all ask like bitch fuck face they kiss my black Ass and die	real slow how about it
Da only thing I know is I have a rich appetite. Sea urchin and dolphin meat wit	kalamari everynite.foreign kydd30 voice. Gone
I Don't Give A Fuck Get Rich Or Die Tryin I Got My Mind Made Fr	And What Girl U Talmbout
I'm sending you a package in the mail it'll be same day delivery so the contents	won't die... hope you Enjoy
"$$ money gang , TAXES && ALL $$ ... Nunn But Racks "" Ill NEVER"	"fall "" ? ? ?"
if u ain't from crescent u ain't ah hero a lot of y'all b false claiming.if y'all looking for protection.	I'm out ni.run it puss.
"I never understood how the ratchet hoes get cuffed while the good girls get played"" ain't"	nobody got time for that
"My bed time is at 9:00pm but I go to sleep at 9:01pm ""Thug Life"" ?????"	sikeeee . Fuckk a bedtime
these niggas b saying they Heroz false flagging ass Niggaz y'all ain't from crescent. No who	don't like that. Run it
I wanna wrap you up. I wanna kiss your lips. I wanna make you feel wanted. I wanna call you mine. I	wanna hold you forever
Why when I upload pics to stupid Twitter they always come out flipped to the doggone side? And it never	lets me change it! Ugh...
"Pacers are going to be a problem for us in the Central, Rose better put"	in a bit of urgency.
"The older I get the topic of booty eatin is becomin too real""mf's used to deny off jump now"	they look around for acceptance
I read complexes 30 things that ruined the internet and struggling	rappers should've been ranked higher
If i paid for season tix for anytime it would take an army to	get me out that mf
I feel like if I even glance at the heat button in my truck the gas light finna	"come on...""know what thats like"
I have not seen any of there games but I am going to make it a point to see their	next game some way somehow.
My Momma Said Dont Let Noboby Put U Down Cuz Dhey Anit Doin Na But Hate On	U Keep Ur Head Up
"I think niggas wearing wires so I don't talk that, I think my girl is crazy so I don't be"	on the phone that much
"Ya Boi jus got invited to the high school all star game wassup!!.."" My lil bro doin big"	thangs lil go get em
That just really effed up my day. And as if thats isn't bad enough its blowin that stank ass	dolce light blue my way
Y'all promoters can stop sending me tweets about y'all events bc 9 Times out of 10 I won't be there	"."" 10 times outta 10"
They want all their money and streaming won't cut it. Easier	to sell direct to folks.
Allow me to apologize in advance for what I will do to the	"bathroom after Thanksgiving."" Amen brother."
Bulls looking to trade Boozer to the raptors bout fucking time they	got rid of this nigga!!
Was Juss Watching the players club it slaped but i love my big sis tho	she cool cute and crispy
Uncle Charlie Wilson was the bomb the other nite no doubt you are so far right my	brother!!!!!!!keep on doing your thing
In aver had a girl do that to me cause the kind nigga that I'm ambut	I wish a bitch would
I always wanted to have a girl that like basketball so we can	be like (LOVE & BASKETBALL)
We Been up all night high n now the morning Here .going	to The store bbl twit
"Its like mogs wake up and say ""hey I was popular in HS...I need to creat"	"my brand and get paid""..."
I fell asleep at 6 and I'm up! Smh I'm about to force myself bk to	sleep! Work n the am!
maybe he thought u as a woman should came out in middle of the nite and	investigate before calling police? (sarcasmTone)
When ppl look at they pix of just a few years ago and pretend they don't	notice a significant aging <
"Ok, so I think im on the train with the Zeta that Became a Sgrho a few years later"	(yes u read dat right)
I UNDERSTAND I BE MAD TO IF BL DO SUM SHIIT LIKE THAT BT. . . .BOTH Y'ALL NEED TO STOP . .	Y'ALL GOT A BABY NOW
he ain't GOTTA do ish...she chose to stay now she may as well	accept this role or nada
but soon as you lay your hands on me that's different ima fighting you cause you disrespecting	me not ova no boy
All I want is tenants dat I don't have to babysit and check	up on for my rent!
You might living in a Taliban occupied country. I hear they	really hate seeing happy women!
Mogs take this winter bundle up 2 serious...this best time to tone up and kill	em when it get warm...
It's because of the cost of gas that innovations in renewable energy	and few efficiency have occurred!
Been on this coming up on 10 years and it's crazy seeing	what time does to ppl
It would've been nice if they would've told me the Praise and Worship	song like before this morning...lol
I'm doing 2 much this winter so I can stunt for	the summer...I'm such a nigger
Do I get a Drink with my meal? Lol yo this can't be her	first time in Subway yo.....
"who dissed Trinidad? And why would he respond? He isn't a ""rapper"" so"	he says (we all agree)
"Good Morning!! Ask Jesus to protect you from all forms and the Spirit of ""Catfish"""	do it right now Jesus!
Clearly this fuck my frat day...cuz lawd have mercy! Niggaz can't let me not be	ignant 07 during achievement week!
My Principal and half of my co workers are leaving work early to go to the Ravens Parade...?? How is that	suppose to work yo? Lol
"The principal just ask me to play some "" Kirk Franklin"".......? At the school dance?? Yo"	he can't be serious yo.....
Was asked to play the Star Spangled Banner at a Wizards home game	in 2 weeks....should be fun.
Sooo how the Sigmas feel about Morris Chestnut throwing up the hooks in Best Man 2 tho? I bet	he felt great doing it
Umm first of all....people don't have strong paper plates at their cookouts....that's why	I bring the good ones!!
"I know I have hella big girl slander on twitter, but yall ain't een know dat my female BFF is a big girl...and"	on twitter so Fuck Yall
"Kobe need 2 keep gum in his damn mouth..lmao. Let me get off Kobe,"	he still got dat shit.
Im Honest About Shit It Aint NoReason To Lie Be Grown Bout	The Shit I Hate Liars
"it took my female BFF to tell me ""yea ya girl tripping but let her ride this spell out den she"	"gonna be all sorry nshit..."""
baltimore i definitly showing yall mad love cant wait for thia game tomorow praying	for the team GO RAVENS
"But I recognize shit happens and if I don't achieve it, it was out of my power den...cuz imma do everything I"	can to get it done
"Just cuz u wanna be cool with me, don't mean I"	wanna be cool with u...
"?Slow Nigga, Whn I Dont Call Yu Backk Tht Meanz STOP Fuckin"	"Callin Me!!>> {""VOICEMAIL FULL SMH""}"
she then promptly got broken up with by her lame boyfriend she thought	she could pressure into marriage
Hate Whn A Men Say Thy L O V E M E Cause I Really Hate Sayin It Back If	I Really Dont Love Thm...
Fuck picnics (except niggaQ) Fuck Clubs (Maybe VirgoBash if the homies peace dat out) Just Red	Cups and my living room
"I'm not gon be in the house all day.. even if I do be stuck in this bitch,"	Ima be in here with
---> At work: Damn it?s only 1 o?clock?!?! At home on your day off:	"Damn its already 1 o?clock?!?!?"""
The Fact that someone announced that whoever left their son in the car playing on a IPad &needs to	come out. ppl priorities bent
"3 dudes in the room. One is a QUEEN. oh ok. What y'all doin?"" We know what they was doing, but he"	ain't gonna say it doe
